Accordo;Nota;Prob
C5,E4,B-3,D3;G2;0.5
C5,E4,B-3,D3;D2;0.5
G4,A3,F#3,D3;E3;1.0
C5,A4,B-3,D3;G3;1.0
F4,E4,C4,F3;E3;0.5
F4,E4,C4,F3;C3;0.25
F4,E4,C4,F3;B2;0.25
B-4,C4,F3,F3;E-3;1.0
C5,A4,A3,G3;F#3;0.5
C5,A4,A3,G3;A3;0.5
F#4,E4,B3,G3;C#3;0.3333333333333333
F#4,E4,B3,G3;F#3;0.6666666666666666
Void,C5,E-4,B-2;D4;1.0
B-4,C4,F3,C3;C#3;1.0
Void,C4,A3,D3;C#3;0.3333333333333333
Void,C4,A3,D3;F3;0.6666666666666666
G4,C4,B-3,E-3;A2;1.0
A4,G4,B3,F3;G3;0.5
A4,G4,B3,F3;E3;0.5
B-4,A4,E-4,F3;F3;1.0
D5,G4,B3,D3;G2;0.2727272727272727
D5,G4,B3,D3;C3;0.2727272727272727
D5,G4,B3,D3;E3;0.45454545454545453
D5,F4,D4,C4;B-3;1.0
Void,E4,Void,G2;D3;1.0
F4,D4,G3,C3;B-2;0.3333333333333333
F4,D4,G3,C3;C3;0.3333333333333333
F4,D4,G3,C3;C2;0.3333333333333333
F4,C4,A3,A2;E2;0.5
F4,C4,A3,A2;B-2;0.5
F4,D4,B-3,D3;E3;0.3333333333333333
F4,D4,B-3,D3;G2;0.3333333333333333
F4,D4,B-3,D3;G3;0.3333333333333333
D5,E4,E4,D3;C#3;1.0
A4,F4,B-3,G2;A2;1.0
G4,C4,G3,E-3;D3;1.0
G4,B3,E-3,F2;G2;1.0
G5,A4,D4,E-3;F3;1.0
B4,E4,G#3,A3;G#3;0.5
B4,E4,G#3,A3;G3;0.25
B4,E4,G#3,A3;B3;0.25
A4,E4,G#3,D3;E3;1.0
B4,D4,C4,C#3;D3;1.0
C5,B3,G3,E2;B2;1.0
G#4,E#4,F#3,E#3;F#3;1.0
B4,D4,G3,C3;F2;0.5
B4,D4,G3,C3;G2;0.5
Void,C#4,B3,G#3;B3;1.0
Void,C#4,F3,C#3;D#3;0.5
Void,C#4,F3,C#3;D3;0.5
Void,D4,Void,E-2;B-3;1.0
D5,F4,G4,E3;F#3;1.0
A4,F#4,D4,E#3;F#3;1.0
A-4,F-4,B-3,C-3;G2;1.0
B4,Rest,E3,F#3;D3;1.0
Void,C#4,Void,F#3;G#3;1.0
C#5,B4,A3,A3;C#3;1.0
A4,F4,G3,Rest;D2;1.0
C5,A4,D4,F3;E3;0.3333333333333333
C5,A4,D4,F3;F2;0.3333333333333333
C5,A4,D4,F3;E-3;0.16666666666666666
C5,A4,D4,F3;B-3;0.16666666666666666
G5,D4,D4,E3;F#3;1.0
E4,C#4,G3,G3;G3;1.0
Void,B-4,E4,F3;F#3;1.0
Rest,Rest,E4,Void;E4;1.0
D5,A4,F4,B-3;A3;1.0
E5,A4,C4,C3;Rest;0.5
E5,A4,C4,C3;C4;0.5
Void,G#4,G#3,F#2;B2;1.0
Void,E4,C4,E2;F#2;1.0
Void,A-4,C4,B-2;E-2;1.0
F#4,C#4,A3,F#3;B3;0.125
F#4,C#4,A3,F#3;G#3;0.25
F#4,C#4,A3,F#3;F#3;0.125
F#4,C#4,A3,F#3;G3;0.125
F#4,C#4,A3,F#3;E3;0.375
G4,G4,C4,E-3;D-3;0.3333333333333333
G4,G4,C4,E-3;E3;0.3333333333333333
G4,G4,C4,E-3;C3;0.3333333333333333
Void,E4,D4,Rest;E3;1.0
Void,C4,Void,B-2;C3;0.5
