Accordo;Nota;Prob
C5,E4,B-3,D3;B-4;0.5
C5,E4,B-3,D3;C5;0.5
G4,A3,F#3,D3;A4;1.0
C5,A4,B-3,D3;D5;1.0
F4,E4,C4,F3;Void;0.25
F4,E4,C4,F3;G4;0.75
B-4,C4,F3,F3;C5;1.0
C5,A4,A3,G3;B4;0.5
C5,A4,A3,G3;D5;0.5
F#4,E4,B3,G3;G4;0.6666666666666666
F#4,E4,B3,G3;B4;0.3333333333333333
Void,C5,E-4,B-2;Void;1.0
B-4,C4,F3,C3;A4;1.0
Void,C4,A3,D3;Void;1.0
G4,C4,B-3,E-3;G4;1.0
A4,G4,B3,F3;D5;0.5
A4,G4,B3,F3;G#4;0.5
B-4,A4,E-4,F3;B-4;1.0
D5,G4,B3,D3;D5;0.2727272727272727
D5,G4,B3,D3;C5;0.6363636363636364
D5,G4,B3,D3;E-5;0.09090909090909091
D5,F4,D4,C4;C5;1.0
Void,E4,Void,G2;Void;1.0
F4,D4,G3,C3;E-4;0.3333333333333333
F4,D4,G3,C3;E4;0.3333333333333333
F4,D4,G3,C3;Rest;0.3333333333333333
F4,C4,A3,A2;G4;0.5
F4,C4,A3,A2;E4;0.5
F4,D4,B-3,D3;G4;0.6666666666666666
F4,D4,B-3,D3;E4;0.3333333333333333
D5,E4,E4,D3;E5;1.0
A4,F4,B-3,G2;G4;1.0
G4,C4,G3,E-3;A4;1.0
G4,B3,E-3,F2;F4;1.0
G5,A4,D4,E-3;F5;1.0
B4,E4,G#3,A3;C#5;0.5
B4,E4,G#3,A3;B4;0.25
B4,E4,G#3,A3;C5;0.25
A4,E4,G#3,D3;G4;1.0
B4,D4,C4,C#3;C5;1.0
C5,B3,G3,E2;C5;1.0
G#4,E#4,F#3,E#3;F#4;1.0
B4,D4,G3,C3;A4;0.5
B4,D4,G3,C3;C5;0.5
Void,C#4,B3,G#3;Void;1.0
Void,C#4,F3,C#3;Void;1.0
Void,D4,Void,E-2;Void;1.0
D5,F4,G4,E3;E-5;1.0
A4,F#4,D4,E#3;G#4;0.5
A4,F#4,D4,E#3;A4;0.5
A-4,F-4,B-3,C-3;B-4;1.0
B4,Rest,E3,F#3;B4;1.0
Void,C#4,Void,F#3;Void;1.0
C#5,B4,A3,A3;B4;1.0
A4,F4,G3,Rest;G4;1.0
C5,A4,D4,F3;D5;0.5
C5,A4,D4,F3;C5;0.3333333333333333
C5,A4,D4,F3;A4;0.16666666666666666
G5,D4,D4,E3;E5;1.0
E4,C#4,G3,G3;A4;1.0
Void,B-4,E4,F3;Void;1.0
Rest,Rest,E4,Void;Void;1.0
D5,A4,F4,B-3;D5;1.0
E5,A4,C4,C3;F5;0.5
E5,A4,C4,C3;E5;0.5
Void,G#4,G#3,F#2;Void;1.0
Void,E4,C4,E2;Void;1.0
Void,A-4,C4,B-2;Void;1.0
F#4,C#4,A3,F#3;G4;0.25
F#4,C#4,A3,F#3;F#4;0.375
F#4,C#4,A3,F#3;G#4;0.25
F#4,C#4,A3,F#3;E4;0.125
G4,G4,C4,E-3;F4;0.6666666666666666
G4,G4,C4,E-3;G4;0.3333333333333333
Void,E4,D4,Rest;Void;1.0
Void,C4,Void,B-2;Void;1.0
F#5,A4,A3,E3;B4;1.0
Void,Void,E4,F3;Void;1.0
Void,G4,E4,G3;Void;1.0
B-4,G4,D4,C3;A4;0.16666666666666666
B-4,G4,D4,C3;C5;0.5
B-4,G4,D4,C3;E-5;0.16666666666666666
B-4,G4,D4,C3;B-4;0.16666666666666666
A4,F#4,A3,A2;B4;1.0
E4,A3,F3,A2;A4;1.0
A4,A3,B-3,G3;A4;1.0
C#5,E4,B-3,G#3;D5;1.0
B4,G3,G3,G2;C5;1.0
G4,G4,C4,C4;F4;0.5
G4,G4,C4,C4;A4;0.5
C#5,G4,E4,B3;D5;0.5
C#5,G4,E4,B3;B4;0.5
A4,E4,B3,Void;Rest;1.0
C#5,F#4,E3,D3;B4;1.0
Void,Void,C#4,Void;Void;0.9090909090909091
C5,Rest,F#3,D3;D5;1.0
E4,F4,D4,D3;D4;1.0
E5,B-4,B-3,C4;D5;1.0
F#4,Void,C#4,E3;B4;1.0
A#4,G4,A#3,B2;B4;1.0
F#4,D4,C#4,B2;F#4;1.0
B4,F#4,C4,G3;G4;1.0
B4,F4,B-3,G3;C5;1.0
C#5,F#4,D4,F#3;D5;0.4
C#5,F#4,D4,F#3;B4;0.6
Void,G4,A3,C4;Void;1.0
G4,G4,E4,A2;Void;1.0
A4,B-3,F3,A2;G4;1.0
Void,B-3,D4,E-3;Void;1.0
F#4,C4,G3,B-2;G4;1.0
Void,E#4,C#4,C#3;Void;1.0
Void,C4,G3,B2;Void;1.0
A4,A#4,A#3,E3;B4;1.0
E5,E4,D4,C3;D5;1.0
E5,F#4,E4,D3;C5;1.0
F#5,E4,B3,C#3;E5;1.0
E4,G4,B3,D3;E4;1.0
G4,D4,B-3,E3;C5;0.3333333333333333
G4,D4,B-3,E3;G4;0.3333333333333333
G4,D4,B-3,E3;A4;0.3333333333333333
D5,F#4,E4,B2;D5;1.0
C#5,E4,E4,G#3;D5;1.0
Void,Void,F4,C4;Void;1.0
E-5,F4,B-3,G3;D5;1.0
C5,F4,G#3,A2;B4;1.0
B-4,D4,B-3,E-3;C5;1.0
A4,C5,C4,D3;B-4;1.0
